Berapa kali sebuah dadu harus di lempar untuk mendapatkan angka 6 sebanyak 50 kali?,300 kali
Bagaimana urutan menghitung dari rumus ini: 3(x - 6) + y ?,"x dikurangi 6, lalu dikali 3, lalu dikurangi y"
"Untuk persegi panjang dengan keliling 90 cm dan lebar 10 cm, berapa panjangnya?",35 cm
4(x - 2) = 17,x = 6.25
2x - 5 > 19,x > 12
Jika x = 0.4; 2(x - 0.1) + 1 = ?,1.6
"24 kg beras dibagi ke dalam 1/3 kg per karung, berapa banyak karung yg ada?",72 karung
Desimal dari 129/4,32.25
Urutkan secara ascending,0.4; 1/2; 4/7; 0.6
(T^F) => (F^T)vT,TRUE
